,level_0,level_1,NY.GDP.MKTP.KD.ZG,GC.XPN.INTP.CN,GC.XPN.TOTL.GD.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,NY.GNS.ICTR.ZS,NY.GDP.DEFL.KD.ZG,GC.XPN.INTP.ZS,SL.UEM.TOTL.ZS,FP.CPI.TOTL.ZG,BX.KLT.DINV.CD.WD,FR.INR.LEND,FM.LBL.BMNY.GD.ZS,CM.MKT.LCAP.GD.ZS,FS.AST.PRVT.GD.ZS,CM.MKT.TRAD.GD.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,SL.TLF.ACTI.ZS,EN.ATM.CO2E.PC,EG.ELC.RNWX.ZS,AG.PRD.FOOD.XD,AG.LND.FRST.ZS,FS.AST.PRVT.GD.ZS.1,TG.VAL.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS.1,MS.MIL.XPND.GD.ZS,GC.NFN.TOTL.GD.ZS,GC.NLD.TOTL.GD.ZS,GC.REV.XGRT.GD.ZS,GC.TAX.TOTL.GD.ZS,TG.VAL.TOTL.GD.ZS.1,NY.GDP.TOTL.RT.ZS,SP.RUR.TOTL.ZS,SL.AGR.EMPL.MA.ZS,SP.POP.TOTL,SP.POP.GROW,SP.URB.TOTL.IN.ZS,EN.URB.MCTY.TL.ZS,EG.ELC.ACCS.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,EN.URB.LCTY.UR.ZS,EN.POP.DNST,SP.URB.TOTL,EN.URB.MCTY.TL.ZS.1,BN.CAB.XOKA.CD,BN.TRF.CURR.CD,BN.TRF.KOGT.CD,NE.EXP.GNFS.ZS.1,NY.EXP.CAPM.KN,NE.EXP.GNFS.KD.ZG,NE.IMP.GNFS.ZS.1,NE.IMP.GNFS.KD.ZG,FI.RES.TOTL.CD,NV.IND.TOTL.ZS,NV.MNF.TECH.ZS.UN,NV.AGR.TOTL.ZS,BM.GSR.ROYL.CD,TX.VAL.FUEL.ZS.UN,TX.VAL.MMTL.ZS.UN,NY.GDP.TOTL.RT.ZS.1,BX.KLT.DINV.CD.WD.1,SL.TLF.CACT.MA.ZS,SP.POP.DPND,SH.IMM.IDPT,SH.IMM.MEAS,SP.POP.1564.TO.ZS.1,SP.POP.1564.TO.ZS.2,SL.TLF.TOTL.IN,SP.POP.1564.TO
0,AUS,1990,3.5735068997854,7364000000.0,21.8229770447068,311326664101.578,18243.4714183672,17367.1105802089,24.3054599796441,6.10235276739392,8.34078990587729,,7.33302195235869,8457776859.55028,16.3541666666667,54.0810096670778,34.6696837906513,60.5758226656022,12.9080174086497,15.1197941513067,17.0435698236889,73.62,15.4484884354618,0.486107060218943,63.06,17.4273589940513,60.5758226656022,26.2544167991121,21.8229770447068,2.07590585971773,0.960528364753602,1.65633056413121,24.4398359735916,22.4372109578341,26.2544167991121,3.48326546450967,14.567,,17065100.0,1.47997801595662,85.433,61.1993307979443,100.0,22.0894170175731,66.8518331046956,24.9117460068356,2.22135298022728,14579227.0,61.1993307979443,-15532375781.5639,792886791.109203,-171857001.531471,15.1197941513067,69958757414.4707,4.66981586811916,17.0435698236889,5.6170144376289,19318743724.0756,28.7844595112329,28.4010166945873,4.19557603276573,825954292.249382,19.96695021361,25.3446134983235,3.48326546450967,8457776859.55028,75.5439987182617,49.584531726461,95.0,86.0,66.8518331046956,66.8518331046956,8475893.0,11408332.0
1,AUS,1991,-0.395087176844456,6192000000.0,23.1710870764125,325902990346.127,18855.7619964202,17822.4752810445,20.682046127586,3.04300121343985,6.43565385494835,9.57999992370605,3.17667536988686,2612066526.44483,13.4166666666667,53.31501446176,44.4373338968724,60.1289398963955,14.0137560417886,16.0322036061681,16.1646593599256,73.05,15.3182133765332,0.491260796238565,60.96,17.4004386707106,60.1289398963955,25.6217348332141,23.1710870764125,2.16804285831077,0.947179053687929,0.0932006849166612,24.2114668150171,22.3337258840217,25.6217348332141,2.5496934460322,14.597,6.44000005722046,17284000.0,1.27457757809254,85.403,61.3258562832678,100.0,21.8832246219146,66.8603265763931,24.883790487875,2.24984705101337,14761055.0,61.3258562832678,-10586162828.9367,546802132.453568,-161751067.167468,16.0322036061681,73743739857.8686,11.2568386538214,16.1646593599256,-5.71519147856961,19339711736.4717,27.6553164127129,28.0594930521612,3.17243571681442,806995923.309744,21.5918131377711,23.5387006115261,2.5496934460322,2612066526.44483,74.5960006713867,49.5655339555885,93.0,86.0,66.8603265763931,66.8603265763931,8524976.0,11556139.0
2,AUS,1992,0.413780383815748,5748000000.0,24.4398920661024,325480273782.973,18604.1882699613,18214.5978708352,18.1788746356445,1.50397648699278,5.5571131628559,10.7299995422363,1.01223112610711,4941906671.70674,10.5833333333333,56.1684782454598,41.5242369158503,61.8686207238754,12.9210011750334,16.6605233187311,16.3885620312744,72.87,15.3415261503287,0.421049985546045,66.12,17.3735183473699,61.8686207238754,26.6163595701547,24.4398920661024,2.16874608012627,1.00160199611551,-2.73402611395438,22.7074679482636,20.6428304766765,26.6163595701547,2.41801257465548,14.715,6.1100001335144,17495000.0,1.21339077499647,85.285,61.2349699914261,100.0,21.7836990817181,66.7811312989476,24.8593371947034,2.2773127839319,14920611.0,61.2349699914261,-10313304564.5566,326076144.32627,-179815256.279151,16.6605233187311,78231019232.9873,9.45478327096924,16.3885620312744,3.49817761220126,13852416773.1173,26.8691136094059,21.0020242908567,3.0437926194763,843695450.800255,21.1705850872818,21.2750652378062,2.41801257465548,4941906671.70674,74.0859985351563,49.7428950013434,91.0,86.0,66.7811312989476,66.7811312989476,8601726.0,11683359.0
3,AUS,1993,4.03356714084148,5413000000.0,24.9694969587005,312126194491.287,17667.1870997502,19159.5215902231,20.1685520498206,0.89146476974291,4.8801377581839,10.8699998855591,1.75365344467641,5312435141.58877,9.41666666666667,56.5781749051142,65.5064437424868,63.2816923222382,21.3759534372763,17.5400366486725,17.8603748609917,72.65,15.455368766627,0.417187385135632,68.85,17.3465980240293,63.2816923222382,28.2898396733136,24.9694969587005,2.17802988646311,0.861513941353119,-3.82289776641199,22.0081131336416,19.9809552967237,28.2898396733136,2.08793172684144,14.843,6.21000003814697,17667000.0,0.9783366810892,85.157,61.2879945661403,100.0,21.7435972597036,66.6625992255388,24.895645884823,2.29970191218776,15044687.0,61.2879945661403,-9289520941.73122,289726352.355454,-187813107.442201,17.5400366486725,80557752984.0305,7.41054478622264,17.8603748609917,6.59484887075396,14188550691.4828,26.8228662503546,28.883517424961,3.25335758568991,798613711.680487,20.4247986391247,20.0311092083798,2.08793172684144,5312435141.58877,73.5110015869141,50.0091489708023,90.0,86.0,66.6625992255388,66.6625992255388,8634061.0,11777281.0
4,AUS,1994,3.9804736671948,6630000000.0,25.092045313297,322807333102.733,18079.3801793746,20094.0541110681,21.7203090225133,1.02143747219925,5.66260120938813,9.72000026702881,1.96963479688142,4458484243.65442,9.0875,59.2264074682074,67.8005632326657,66.7688721823847,30.8507334832775,17.9720885178026,18.4866421783986,73.28,15.6919630355643,0.410961362453565,63.45,17.3196777006886,66.7688721823847,31.2734531243973,25.092045313297,2.11659858893427,0.766794251400503,-3.64345138850194,22.2153881761955,20.0075865054499,31.2734531243973,1.99235405557612,14.972,5.92000007629395,17855000.0,1.05850884158683,85.028,61.294516942033,100.0,21.6842470521019,66.5822046305063,24.9127159196216,2.32417375004881,15181749.0,61.294516942033,-15863048787.8869,192923939.585825,-216149475.754017,17.9720885178026,85727559087.4313,9.48843432031828,18.4866421783986,7.50100574187178,14313163752.8351,26.7799356218577,27.7561237493863,3.3384910140629,969759324.050812,17.3291132309473,17.7798448455903,1.99235405557612,4458484243.65442,73.5690002441406,50.1902760649525,88.0,86.0,66.5822046305063,66.5822046305063,8799677.0,11888253.0
5,AUS,1995,3.83383058905508,8162000000.0,25.4031712844772,367915800415.8,20358.3333563413,20923.5552047671,20.650885699137,2.27068929436828,6.48421052631579,8.47000026702881,4.62776659959758,13268875155.4923,10.5,60.5241361710887,66.6506656476472,69.8212023192313,26.6901692966223,17.8828235208644,19.8468645372738,74.04,16.0568835768039,0.431700471629872,71.29,17.2927573773479,69.8212023192313,31.0924401373133,25.4031712844772,2.02131256804327,0.876068850414422,-3.22537027581739,23.0538698590742,21.1739847308525,31.0924401373133,2.04725873195576,15.102,5.73999977111816,18072000.0,1.20801981192904,84.898,61.2111553784861,100.0,21.5703497912586,66.5725934323396,24.892902303737,2.35242049906929,15342767.0,61.2111553784861,-18669238436.3801,181168116.228494,-299845268.928429,17.8828235208644,92441322046.3073,4.41314553990611,19.8468645372738,16.3434714567599,14951886130.3736,26.4297923952945,25.5794031699585,3.01205427146631,1001161631.08382,17.6093714518551,20.2649372474352,2.04725873195576,13268875155.4923,73.7760009765625,50.2119649415647,86.0,87.0,66.5725934323396,66.5725934323396,9006036.0,12030999.0
6,AUS,1996,3.85441996283515,9276000000.0,24.5787271392792,401089529590.288,21904.2941177592,22008.9115920568,20.9136313077199,2.72595883584287,7.13911892374473,8.51000022888184,2.61538461538462,4563952446.39275,9.72916666666667,62.7726867447544,77.9071271990557,71.5418064414834,36.1425540447491,18.9020422370024,19.3550949992055,74.12,16.4278302659604,0.538146946834015,76.78,17.2658370540073,71.5418064414834,31.3466173321529,24.5787271392792,1.93044006740518,0.819467459650875,-1.73503128806967,23.6631633108604,21.8861371529748,31.3466173321529,2.06582008756225,15.233,5.94000005722046,18311000.0,1.31381929938745,84.767,61.0644475998034,100.0,21.4784787762592,66.5557185148151,24.8464841284951,2.38353097379691,15521685.0,61.0644475998034,-14404742352.5668,394525037.843982,-259073486.436723,18.9020422370024,104887996696.573,9.96045629250024,19.3550949992055,4.68643390451685,17402141301.7261,25.9762861401796,26.4125702618022,3.38134368450124,1146884407.75145,17.7443594842727,18.8015444307134,2.06582008756225,4563952446.39275,73.5429992675781,50.2500447607446,86.0,87.0,66.5557185148151,66.5557185148151,9132954.0,12187018.0
7,AUS,1997,3.90829089340106,9613000000.0,23.822981104058,435323994365.315,23509.4234684514,22972.4878585107,21.8305254360918,1.26714182084389,7.25416361674351,8.35999965667725,0.224887556221881,8088068982.50254,7.16666666666667,64.0168804347631,67.9414812480562,75.3739747634637,34.505736404216,19.1415119270409,18.8671783006776,73.72,16.6252632715883,0.54490988450101,76.06,17.2389167306666,75.3739747634637,29.5876178816626,23.822981104058,1.86733439499343,0.773922845015883,-0.403230880690041,24.1936730683839,22.3919878761076,29.5876178816626,1.81810532805351,15.364,6.0,18517000.0,1.11872568961022,84.636,60.5148998217854,100.0,21.3424720025557,66.5981969862319,24.4846876426106,2.41034585996381,15672048.0,60.5148998217854,-11910492515.9163,178295410.111915,-216098612.709909,19.1415119270409,119745172024.774,10.8831915215407,18.8671783006776,9.89460159028697,17588261223.5229,25.2153231330123,27.1752682905108,3.23213910117086,1196946820.89075,18.5455847448969,18.6810630985749,1.81810532805351,8088068982.50254,72.9509963989258,50.1542168221377,77.0,85.0,66.5981969862319,66.5981969862319,9193437.0,12331988.0
8,AUS,1998,4.61401157561838,8555000000.0,21.3415483270555,399404463135.047,21345.9709868552,24210.6362668513,21.6434985678202,1.18903024202561,6.80762007830156,7.67999982833862,0.860134629768157,7597610928.17343,6.68333333333333,65.5725552864775,82.3547331990585,79.1641380200461,38.9413800685073,19.570784692668,20.4489489540488,73.65,17.5629308962642,0.546100636348253,81.64,17.2119964073259,79.1641380200461,30.1756768199279,21.3415483270555,1.87112181310612,0.787477795401823,1.99221522921259,24.1212413516699,22.2438277160936,30.1756768199279,1.81876019174523,15.497,5.90999984741211,18711000.0,1.04223571564164,84.503,60.0184276628721,100.0,21.1801503855836,66.6763867109205,24.1470813761957,2.43559871392682,15811356.0,60.0184276628721,-17780527378.192,48843408.2099797,-205015720.116872,19.570784692668,124534011576.919,4.57939298415778,20.4489489540488,10.2457870523346,15377553384.6145,25.3791339612324,28.1350185291848,3.03103379174719,1114256382.08339,17.9197050426655,20.0662547233913,1.81876019174523,7597610928.17343,72.6439971923828,49.9781296923272,82.0,82.0,66.6763867109205,66.6763867109205,9291229.0,12475819.0
9,AUS,1999,4.9366749281626,11810000000.0,24.5368193208831,389098884572.001,20558.9604021981,25296.2635489631,20.6610629411799,0.487575649141377,7.75163269994421,6.86999988555908,1.48312940304038,2210917991.82997,6.56666666666667,69.462781370989,109.955432144353,84.174011054493,51.0945694996489,18.3207606728038,20.7645380110931,73.49,17.6323576032971,0.586857342100998,86.28,17.1850760839853,84.174011054493,32.1866766947324,24.5368193208831,1.88923574072912,0.363651590210718,0.552724649071384,25.1281960433161,22.4468695041583,32.1866766947324,1.84806769664256,15.63,6.03000020980835,18926000.0,1.14250518739456,84.37,59.4684349572017,100.0,21.0238231620658,66.7481948496784,23.790323641243,2.46358512424664,15967866.0,59.4684349572017,-21795709492.9592,169506490.093852,-237735132.030977,18.3207606728038,120677957760.68,1.91530164189415,20.7645380110931,5.11289405327308,21955814712.2324,24.6326442527588,27.7882095619338,3.0522253931238,1267126378.18412,18.2537981353932,20.9102903773522,1.84806769664256,2210917991.82997,72.1719970703125,49.8167898819918,88.0,88.0,66.7481948496784,66.7481948496784,9380756.0,12632763.0
10,AUS,2000,3.91242773271188,10459000000.0,24.0634284488048,415576210513.094,21697.7084797731,26343.0767025713,21.2274600185142,2.55802188068598,6.56836208574856,6.28000020980835,4.45743514797225,14892978180.1828,7.71666666666667,67.6177798229468,89.7054115633151,87.6611129749351,51.3078719633018,19.4181242273946,21.5759790365138,73.95,17.7230721035869,0.586093851256052,85.36,17.1581557606446,87.6611129749351,32.5810276369835,24.0634284488048,1.82984191251005,0.181193915269554,2.01202317589562,25.9207038605336,23.0572657399935,32.5810276369835,2.86959713874586,15.765,5.96000003814697,19153000.0,1.19227232344832,84.235,58.8963974312118,100.0,20.8824232360373,66.7939029976204,23.4276317706044,2.49313356677037,16133530.0,58.8963974312118,-15487273891.4343,-78017343.6459105,-316037392.412962,19.4181242273946,137925875214.501,9.89183911423723,21.5759790365138,12.0475233046975,18821546023.5147,24.5903868996346,27.2399041233047,3.11490323731114,1160197303.08146,20.8946525176662,19.6274302028013,2.86959713874586,14892978180.1828,72.0309982299805,49.7142664180731,90.0,91.0,66.7939029976204,66.7939029976204,9567850.0,12793036.0
